"Date","Price","Open","High","Low","Change %"
"10/01/2016","0.845","0.778","0.900","0.774","10.33%"
"09/01/2016","0.766","0.809","0.848","0.718","-5.38%"
"08/01/2016","0.809","0.663","0.853","0.643","22.75%"
"07/01/2016","0.659","0.586","0.778","0.538","12.59%"
"06/01/2016","0.586","0.879","0.911","0.499","-33.67%"
"05/01/2016","0.883","0.778","0.938","0.686","12.96%"
"04/01/2016","0.782","0.733","0.881","0.688","7.81%"
"03/01/2016","0.725","0.782","1.001","0.725","-7.70%"
"02/01/2016","0.785","0.785","0.821","0.582","1.00%"
"01/01/2016","0.778","1.068","1.072","0.766","-26.05%"
"12/01/2015","1.052","0.942","1.103","0.879","12.55%"
"11/01/2015","0.934","0.732","0.958","0.728","28.33%"
"10/01/2015","0.728","0.641","0.753","0.542","15.77%"
"09/01/2015","0.629","0.735","0.819","0.629","-14.96%"
"08/01/2015","0.739","0.676","0.760","0.544","10.62%"
"07/01/2015","0.669","0.653","0.751","0.541","3.69%"
"06/01/2015","0.645","0.613","0.766","0.601","5.83%"
"05/01/2015","0.609","0.583","0.672","0.532","5.98%"
"04/01/2015","0.575","0.563","0.614","0.464","2.81%"
"03/01/2015","0.559","0.634","0.735","0.532","-10.17%"
"02/01/2015","0.622","0.465","0.690","0.453","37.49%"
"01/01/2015","0.453","0.704","0.712","0.404","-32.67%"
"12/01/2014","0.672","0.484","0.751","0.457","41.14%"
"11/01/2014","0.476","0.497","0.567","0.472","-4.22%"
"10/01/2014","0.497","0.579","0.579","0.244","-13.47%"
"09/01/2014","0.575","0.496","0.597","0.492","16.81%"
"08/01/2014","0.492","0.535","0.544","0.391","-7.41%"
"07/01/2014","0.531","0.465","0.590","0.444","16.38%"
"06/01/2014","0.457","0.383","0.500","0.371","21.79%"
"05/01/2014","0.375","0.410","0.482","0.326","-9.49%"
"04/01/2014","0.414","0.434","0.498","0.343","-1.87%"
"03/01/2014","0.422","0.309","0.477","0.301","29.99%"
"02/01/2014","0.325","0.340","0.348","0.294","-2.08%"
"01/01/2014","0.332","0.396","0.437","0.311","-13.57%"
"12/01/2013","0.384","0.289","0.415","0.282","34.48%"
"11/01/2013","0.285","0.309","0.330","0.262","-7.61%"
"10/01/2013","0.309","0.321","0.393","0.290","-3.68%"
"09/01/2013","0.321","0.430","0.538","0.311","-20.34%"
"08/01/2013","0.403","0.313","0.410","0.297","28.71%"
"07/01/2013","0.313","0.359","0.407","0.290","-12.94%"
"06/01/2013","0.359","0.301","0.442","0.254","20.90%"
"05/01/2013","0.297","0.211","0.313","0.200","40.65%"
"04/01/2013","0.211","0.250","0.254","0.207","-15.48%"
"03/01/2013","0.250","0.238","0.274","0.234","4.95%"
"02/01/2013","0.238","0.270","0.282","0.238","-10.35%"
"01/01/2013","0.266","0.251","0.299","0.234","5.98%"
"12/01/2012","0.251","0.254","0.286","0.234","0.28%"
"11/01/2012","0.250","0.285","0.305","0.238","-12.37%"
"10/01/2012","0.285","0.234","0.323","0.230","21.77%"
"09/01/2012","0.234","0.226","0.282","0.222","3.49%"
"08/01/2012","0.226","0.211","0.303","0.200","5.20%"
"07/01/2012","0.215","0.313","0.313","0.198","-29.44%"
"06/01/2012","0.305","0.270","0.321","0.242","14.79%"
"05/01/2012","0.266","0.262","0.309","0.254","1.49%"
"04/01/2012","0.262","0.344","0.376","0.254","-22.20%"
"03/01/2012","0.336","0.301","0.414","0.274","13.26%"
"02/01/2012","0.297","0.219","0.313","0.219","35.91%"
"01/01/2012","0.219","0.247","0.284","0.207","-11.50%"
"12/01/2011","0.247","0.254","0.302","0.218","-4.19%"
"11/01/2011","0.258","0.246","0.293","0.211","3.12%"
"10/01/2011","0.250","0.251","0.321","0.235","1.21%"
"09/01/2011","0.247","0.199","0.267","0.149","21.44%"
"08/01/2011","0.203","0.367","0.391","0.164","-43.39%"
"07/01/2011","0.359","0.462","0.502","0.335","-21.48%"
"06/01/2011","0.458","0.476","0.517","0.325","-2.33%"
"05/01/2011","0.468","0.609","0.633","0.461","-23.10%"
"04/01/2011","0.609","0.841","0.901","0.605","-26.87%"
"03/01/2011","0.833","0.700","0.841","0.505","21.06%"
"02/01/2011","0.688","0.566","0.891","0.562","20.76%"
"01/01/2011","0.570","0.597","0.732","0.542","-5.85%"
"12/01/2010","0.605","0.468","0.755","0.429","31.37%"
"11/01/2010","0.461","0.347","0.576","0.320","35.66%"
"10/01/2010","0.340","0.426","0.438","0.335","-19.56%"
"09/01/2010","0.422","0.481","0.595","0.407","-11.54%"
"08/01/2010","0.477","0.558","0.589","0.454","-13.84%"
"07/01/2010","0.554","0.613","0.677","0.550","-8.48%"
"06/01/2010","0.605","0.797","0.857","0.590","-21.77%"
"05/01/2010","0.774","0.972","1.016","0.654","-19.77%"
"04/01/2010","0.964","1.032","1.184","0.931","-5.46%"
"03/01/2010","1.020","0.828","1.123","0.788","25.00%"
"02/01/2010","0.816","0.831","0.972","0.728","0.00%"
"01/01/2010","0.816","1.163","1.179","0.787","-28.61%"
"12/01/2009","1.143","0.667","1.211","0.647","71.36%"
"11/01/2009","0.667","0.905","0.956","0.616","-25.97%"
"10/01/2009","0.901","0.964","1.037","0.837","-5.06%"
"09/01/2009","0.949","0.972","1.067","0.863","-2.37%"
"08/01/2009","0.972","1.139","1.387","0.963","-12.83%"
"07/01/2009","1.115","1.117","1.234","0.867","-0.18%"
"06/01/2009","1.117","0.930","1.447","0.907","21.15%"
"05/01/2009","0.922","0.907","1.028","0.822","1.65%"
"04/01/2009","0.907","0.805","0.999","0.805","12.67%"
"03/01/2009","0.805","0.982","1.061","0.794","-17.69%"
"02/01/2009","0.978","0.954","1.129","0.855","2.95%"
"01/01/2009","0.950","0.772","0.994","0.690","23.70%"
"12/01/2008","0.768","1.004","1.090","0.612","-23.20%"
"11/01/2008","1.000","1.556","1.600","0.963","-36.22%"
"10/01/2008","1.568","1.936","1.971","1.324","-20.81%"
"09/01/2008","1.980","2.375","2.542","1.367","-16.77%"
"08/01/2008","2.379","2.524","2.644","2.217","-5.74%"
"07/01/2008","2.524","2.641","2.828","2.271","-4.10%"
"06/01/2008","2.632","2.649","3.122","2.360","-0.94%"
"05/01/2008","2.657","2.270","2.791","2.166","17.05%"
"04/01/2008","2.270","1.618","2.508","1.563","41.70%"
"03/01/2008","1.602","1.644","1.839","1.249","-1.60%"
"02/01/2008","1.628","2.129","2.210","1.624","-22.81%"
"01/01/2008","2.109","3.059","3.111","1.849","-31.06%"
"12/01/2007","3.059","3.019","3.349","2.803","1.46%"
"11/01/2007","3.015","3.958","3.987","2.877","-23.75%"
"10/01/2007","3.954","3.954","3.954","3.954","-0.85%"
"09/01/2007","3.988","3.988","3.988","3.988","-4.07%"
"08/01/2007","4.157","4.157","4.157","4.157","-7.89%"
"07/01/2007","4.513","4.513","4.513","4.513","-7.35%"
"06/01/2007","4.871","4.871","4.871","4.871","-1.02%"
"05/01/2007","4.921","4.921","4.921","4.921","7.09%"
"04/01/2007","4.595","4.595","4.595","4.595","0.26%"
"03/01/2007","4.583","4.583","4.583","4.583","-1.63%"
"02/01/2007","4.659","4.659","4.659","4.659","-5.40%"
"01/01/2007","4.925","4.925","4.925","4.925","2.07%"
"12/01/2006","4.825","4.825","4.825","4.825","4.41%"
"11/01/2006","4.621","4.621","4.621","4.621","-1.70%"
"10/01/2006","4.701","4.701","4.701","4.701","0.21%"
"09/01/2006","4.691","4.691","4.691","4.691","-2.03%"
"08/01/2006","4.788","4.788","4.788","4.788","-3.60%"
"07/01/2006","4.967","4.967","4.967","4.967","-3.78%"
"06/01/2006","5.162","5.162","5.162","5.162","2.40%"
"05/01/2006","5.041","5.041","5.041","5.041","3.49%"
"04/01/2006","4.871","4.871","4.871","4.871","0.97%"
"03/01/2006","4.824","4.824","4.824","4.824","2.84%"
"02/01/2006","4.691","4.691","4.691","4.691","3.60%"
"01/01/2006","4.528","4.528","4.528","4.528","2.82%"
"12/01/2005","4.404","4.404","4.404","4.404","-0.25%"
"11/01/2005","4.415","4.415","4.415","4.415","0.66%"
"10/01/2005","4.386","4.386","4.386","4.386","5.10%"
"09/01/2005","4.173","4.173","4.173","4.173","9.24%"
"08/01/2005","3.820","3.820","3.820","3.820","-5.05%"
"07/01/2005","4.023","4.023","4.023","4.023","10.37%"
"06/01/2005","3.645","3.645","3.645","3.645","1.76%"
"05/01/2005","3.582","3.582","3.582","3.582","-2.08%"
"04/01/2005","3.658","3.658","3.658","3.658","-3.30%"
"03/01/2005","3.783","3.783","3.783","3.783","4.97%"
"02/01/2005","3.604","3.604","3.604","3.604","9.88%"
"01/01/2005","3.280","3.280","3.280","3.280","7.01%"
"12/01/2004","3.065","3.065","3.065","3.065","2.13%"
"11/01/2004","3.001","3.001","3.001","3.001","17.59%"
"10/01/2004","2.552","2.552","2.552","2.552","-1.58%"
"09/01/2004","2.593","2.593","2.593","2.593","3.10%"
"08/01/2004","2.515","2.515","2.515","2.515","-4.30%"
"07/01/2004","2.628","2.628","2.628","2.628","-1.90%"
"06/01/2004","2.679","2.679","2.679","2.679","9.12%"
"05/01/2004","2.455","2.455","2.455","2.455","7.02%"
"04/01/2004","2.294","2.294","2.294","2.294","45.93%"
"03/01/2004","1.572","1.572","1.572","1.572","-4.55%"
"02/01/2004","1.647","1.647","1.647","1.647","2.36%"
"01/01/2004","1.609","1.609","1.609","1.609","-12.41%"
"12/01/2003","1.837","1.837","1.837","1.837","-11.26%"
"11/01/2003","2.070","2.070","2.070","2.070","13.11%"
"10/01/2003","1.830","1.830","1.830","1.830","25.00%"
"09/01/2003","1.464","1.464","1.464","1.464","-25.99%"
"08/01/2003","1.978","1.978","1.978","1.978","12.64%"
"07/01/2003","1.756","1.756","1.756","1.756","30.65%"
"06/01/2003","1.344","1.344","1.344","1.344","-0.37%"
"05/01/2003","1.349","1.349","1.349","1.349","-9.22%"
"04/01/2003","1.486","1.486","1.486","1.486","-1.00%"
"03/01/2003","1.501","1.501","1.501","1.501","-0.99%"
"02/01/2003","1.516","1.516","1.516","1.516","-10.67%"
"01/01/2003","1.697","1.697","1.697","1.697","6.73%"
"12/01/2002","1.590","1.590","1.590","1.590","-22.82%"
"11/01/2002","2.060","2.060","2.060","2.060","17.31%"
"10/01/2002","1.756","1.756","1.756","1.756","3.84%"
"09/01/2002","1.691","1.691","1.691","1.691","-20.91%"
"08/01/2002","2.138","2.138","2.138","2.138","-4.64%"
"07/01/2002","2.242","2.242","2.242","2.242","-20.52%"
"06/01/2002","2.821","2.821","2.821","2.821","-11.93%"
"05/01/2002","3.203","3.203","3.203","3.203","-1.78%"
"04/01/2002","3.261","3.261","3.261","3.261","-12.39%"
"03/01/2002","3.722","3.722","3.722","3.722","22.07%"
"02/01/2002","3.049","3.049","3.049","3.049","-4.57%"
"01/01/2002","3.195","3.195","3.195","3.195","2.40%"
"12/01/2001","3.120","3.120","3.120","3.120","9.63%"
"11/01/2001","2.846","2.846","2.846","2.846","19.83%"
"10/01/2001","2.375","2.375","2.375","2.375","-16.70%"
"09/01/2001","2.851","2.851","2.851","2.851","-19.89%"
"08/01/2001","3.559","3.559","3.559","3.559","-6.37%"
"07/01/2001","3.801","3.801","3.801","3.801","-10.63%"
"06/01/2001","4.253","4.253","4.253","4.253","0.85%"
"05/01/2001","4.217","4.217","4.217","4.217","-1.95%"
"04/01/2001","4.301","4.301","4.301","4.301","2.19%"
"03/01/2001","4.209","4.209","4.209","4.209","-4.30%"
"02/01/2001","4.398","4.398","4.398","4.398","-3.97%"
"01/01/2001","4.580","4.580","4.580","4.580","-10.70%"
