"Date","Price","Open","High","Low","Change %"
"01/01/2025","4.625","4.573","4.823","4.516","1.14%"
"12/01/2024","4.573","4.207","4.641","4.126","9.48%"
"11/01/2024","4.177","4.292","4.505","4.172","-2.43%"
"10/01/2024","4.281","3.779","4.339","3.696","13.09%"
"09/01/2024","3.786","3.928","3.932","3.599","-3.16%"
"08/01/2024","3.909","4.056","4.066","3.667","-3.08%"
"07/01/2024","4.033","4.412","4.493","4.031","-8.17%"
"06/01/2024","4.392","4.493","4.501","4.188","-2.45%"
"05/01/2024","4.503","4.682","4.694","4.313","-3.83%"
"04/01/2024","4.682","4.190","4.739","4.188","11.31%"
"03/01/2024","4.206","4.254","4.348","4.038","-1.13%"
"02/01/2024","4.254","3.931","4.354","3.816","8.58%"
"01/01/2024","3.918","3.899","4.198","3.881","1.35%"
"12/01/2023","3.866","4.321","4.349","3.783","-10.72%"
"11/01/2023","4.330","4.926","4.935","4.247","-12.10%"
"10/01/2023","4.926","4.614","5.021","4.530","7.58%"
"09/01/2023","4.579","4.114","4.688","4.060","11.52%"
"08/01/2023","4.106","3.965","4.366","3.949","3.51%"
"07/01/2023","3.967","3.845","4.094","3.727","3.29%"
"06/01/2023","3.841","3.639","3.892","3.570","5.33%"
"05/01/2023","3.646","3.450","3.859","3.296","6.21%"
"04/01/2023","3.433","3.524","3.639","3.253","-1.15%"
"03/01/2023","3.473","3.938","4.091","3.285","-11.57%"
"02/01/2023","3.928","3.516","3.983","3.333","11.89%"
"01/01/2023","3.510","3.848","3.848","3.321","-9.49%"
"12/01/2022","3.879","3.620","3.905","3.402","7.41%"
"11/01/2022","3.611","4.058","4.243","3.600","-10.84%"
"10/01/2022","4.050","3.813","4.338","3.562","5.78%"
"09/01/2022","3.829","3.198","4.019","3.174","19.78%"
"08/01/2022","3.196","2.669","3.198","2.516","20.27%"
"07/01/2022","2.658","3.024","3.103","2.618","-11.90%"
"06/01/2022","3.017","2.864","3.498","2.833","5.86%"
"05/01/2022","2.849","2.932","3.203","2.706","-3.00%"
"04/01/2022","2.938","2.352","2.981","2.352","25.26%"
"03/01/2022","2.345","1.840","2.557","1.668","28.74%"
"02/01/2022","1.822","1.787","2.065","1.739","2.12%"
"01/01/2022","1.784","1.531","1.902","1.529","17.99%"
"12/01/2021","1.512","1.477","1.560","1.335","3.82%"
"11/01/2021","1.456","1.575","1.693","1.412","-6.71%"
"10/01/2021","1.561","1.501","1.705","1.453","4.58%"
"09/01/2021","1.492","1.317","1.567","1.260","14.18%"
"08/01/2021","1.307","1.237","1.379","1.127","6.65%"
"07/01/2021","1.226","1.470","1.485","1.128","-16.51%"
"06/01/2021","1.468","1.608","1.639","1.354","-7.13%"
"05/01/2021","1.581","1.631","1.707","1.469","-2.78%"
"04/01/2021","1.626","1.737","1.753","1.528","-6.77%"
"03/01/2021","1.744","1.395","1.776","1.383","23.99%"
"02/01/2021","1.407","1.071","1.614","1.060","31.38%"
"01/01/2021","1.071","0.930","1.187","0.906","16.81%"
"12/01/2020","0.916","0.847","0.986","0.834","8.82%"
"11/01/2020","0.842","0.855","0.975","0.718","-3.61%"
"10/01/2020","0.874","0.689","0.877","0.653","27.42%"
"09/01/2020","0.686","0.713","0.731","0.604","-2.93%"
"08/01/2020","0.706","0.535","0.789","0.504","32.51%"
"07/01/2020","0.533","0.658","0.724","0.520","-18.94%"
"06/01/2020","0.658","0.640","0.959","0.618","0.78%"
"05/01/2020","0.653","0.630","0.745","0.590","1.08%"
"04/01/2020","0.646","0.663","0.785","0.543","-3.34%"
"03/01/2020","0.668","1.105","1.283","0.318","-42.59%"
"02/01/2020","1.163","1.514","1.684","1.116","-22.71%"
"01/01/2020","1.505","1.919","1.946","1.503","-21.58%"
"12/01/2019","1.919","1.796","1.952","1.693","8.18%"
"11/01/2019","1.774","1.689","1.973","1.670","5.13%"
"10/01/2019","1.688","1.670","1.860","1.505","1.17%"
"09/01/2019","1.668","1.508","1.908","1.429","11.24%"
"08/01/2019","1.499","2.025","2.061","1.443","-25.31%"
"07/01/2019","2.007","2.045","2.150","1.939","0.03%"
"06/01/2019","2.007","2.126","2.178","1.974","-5.93%"
"05/01/2019","2.133","2.509","2.578","2.126","-14.79%"
"04/01/2019","2.504","2.430","2.614","2.424","4.02%"
"03/01/2019","2.407","2.719","2.768","2.340","-11.41%"
"02/01/2019","2.717","2.645","2.740","2.624","3.19%"
"01/01/2019","2.633","2.686","2.799","2.543","-1.98%"
"12/01/2018","2.686","3.037","3.050","2.679","-10.27%"
"11/01/2018","2.993","3.155","3.250","2.988","-4.95%"
"10/01/2018","3.149","3.067","3.261","3.046","2.75%"
"09/01/2018","3.065","2.860","3.113","2.855","7.15%"
"08/01/2018","2.860","2.958","3.016","2.808","-3.42%"
"07/01/2018","2.962","2.858","2.990","2.807","3.55%"
"06/01/2018","2.860","2.862","3.010","2.822","0.00%"
"05/01/2018","2.860","2.959","3.128","2.759","-3.20%"
"04/01/2018","2.955","2.759","3.035","2.717","7.82%"
"03/01/2018","2.741","2.866","2.936","2.739","-4.31%"
"02/01/2018","2.864","2.724","2.957","2.648","5.59%"
"01/01/2018","2.713","2.429","2.754","2.416","12.77%"
"12/01/2017","2.405","2.411","2.504","2.314","-0.40%"
"11/01/2017","2.415","2.379","2.437","2.304","1.58%"
"10/01/2017","2.378","2.344","2.477","2.273","1.65%"
"09/01/2017","2.339","2.127","2.359","2.016","10.30%"
"08/01/2017","2.121","2.303","2.321","2.086","-7.64%"
"07/01/2017","2.296","2.314","2.398","2.225","-0.33%"
"06/01/2017","2.304","2.213","2.309","2.103","4.41%"
"05/01/2017","2.206","2.282","2.423","2.181","-3.62%"
"04/01/2017","2.289","2.396","2.405","2.165","-4.19%"
"03/01/2017","2.389","2.415","2.629","2.348","-0.33%"
"02/01/2017","2.397","2.461","2.524","2.310","-2.79%"
"01/01/2017","2.466","2.439","2.555","2.305","0.81%"
"12/01/2016","2.446","2.397","2.641","2.340","2.35%"
"11/01/2016","2.390","1.838","2.417","1.716","30.92%"
"10/01/2016","1.826","1.600","1.879","1.593","14.24%"
"09/01/2016","1.598","1.580","1.752","1.519","1.24%"
"08/01/2016","1.578","1.463","1.635","1.463","8.87%"
"07/01/2016","1.450","1.471","1.628","1.321","-1.70%"
"06/01/2016","1.475","1.844","1.856","1.406","-20.33%"
"05/01/2016","1.851","1.830","1.890","1.700","0.88%"
"04/01/2016","1.835","1.784","1.941","1.685","3.65%"
"03/01/2016","1.770","1.737","2.002","1.702","1.85%"
"02/01/2016","1.738","1.933","1.966","1.530","-9.59%"
"01/01/2016","1.923","2.293","2.293","1.911","-15.28%"
"12/01/2015","2.269","2.217","2.358","2.120","2.79%"
"11/01/2015","2.208","2.137","2.377","2.130","2.89%"
"10/01/2015","2.146","2.042","2.183","1.904","5.44%"
"09/01/2015","2.035","2.214","2.303","2.035","-8.10%"
"08/01/2015","2.214","2.200","2.293","1.905","1.24%"
"07/01/2015","2.187","2.373","2.470","2.176","-6.91%"
"06/01/2015","2.349","2.128","2.500","2.106","10.66%"
"05/01/2015","2.123","2.049","2.366","2.046","4.32%"
"04/01/2015","2.035","1.930","2.110","1.802","5.64%"
"03/01/2015","1.927","2.005","2.259","1.852","-3.50%"
"02/01/2015","1.997","1.653","2.164","1.649","21.81%"
"01/01/2015","1.639","2.200","2.213","1.637","-24.48%"
"12/01/2014","2.170","2.178","2.347","2.009","-0.12%"
"11/01/2014","2.173","2.309","2.407","2.166","-6.96%"
"10/01/2014","2.335","2.500","2.508","1.865","-6.40%"
"09/01/2014","2.495","2.357","2.655","2.354","6.41%"
"08/01/2014","2.345","2.562","2.591","2.303","-8.46%"
"07/01/2014","2.562","2.530","2.692","2.441","1.16%"
"06/01/2014","2.532","2.484","2.662","2.475","2.31%"
"05/01/2014","2.475","2.659","2.700","2.402","-6.46%"
"04/01/2014","2.646","2.726","2.810","2.596","-2.69%"
"03/01/2014","2.719","2.610","2.821","2.592","2.63%"
"02/01/2014","2.649","2.666","2.786","2.570","0.20%"
"01/01/2014","2.644","3.038","3.041","2.646","-12.63%"
"12/01/2013","3.026","2.753","3.036","2.752","10.20%"
"11/01/2013","2.746","2.560","2.839","2.554","7.60%"
"10/01/2013","2.552","2.614","2.759","2.471","-2.41%"
"09/01/2013","2.615","2.837","3.007","2.590","-6.24%"
"08/01/2013","2.789","2.584","2.936","2.552","7.80%"
"07/01/2013","2.588","2.495","2.755","2.415","4.02%"
"06/01/2013","2.487","2.157","2.667","1.999","16.69%"
"05/01/2013","2.132","1.668","2.235","1.614","27.39%"
"04/01/2013","1.673","1.875","1.888","1.638","-9.65%"
"03/01/2013","1.852","1.877","2.087","1.827","-1.53%"
"02/01/2013","1.881","1.990","2.064","1.836","-5.24%"
"01/01/2013","1.985","1.757","2.037","1.757","13.00%"
"12/01/2012","1.757","1.618","1.847","1.564","8.67%"
"11/01/2012","1.616","1.702","1.781","1.556","-4.61%"
"10/01/2012","1.694","1.623","1.856","1.599","3.73%"
"09/01/2012","1.633","1.552","1.894","1.542","5.50%"
"08/01/2012","1.548","1.468","1.863","1.446","5.36%"
"07/01/2012","1.470","1.652","1.660","1.381","-10.56%"
"06/01/2012","1.643","1.570","1.728","1.442","5.14%"
"05/01/2012","1.563","1.919","1.966","1.533","-18.56%"
"04/01/2012","1.919","2.237","2.308","1.884","-13.33%"
"03/01/2012","2.214","1.983","2.399","1.931","12.17%"
"02/01/2012","1.974","1.797","2.080","1.797","9.95%"
"01/01/2012","1.795","1.876","2.094","1.792","-4.31%"
"12/01/2011","1.876","2.079","2.167","1.798","-9.43%"
"11/01/2011","2.072","2.135","2.153","1.872","-2.10%"
"10/01/2011","2.116","1.919","2.420","1.717","10.37%"
"09/01/2011","1.917","2.222","2.278","1.674","-14.18%"
"08/01/2011","2.234","2.820","2.858","1.976","-20.00%"
"07/01/2011","2.793","3.162","3.223","2.773","-11.63%"
"06/01/2011","3.160","3.070","3.221","2.842","3.31%"
"05/01/2011","3.059","3.297","3.323","3.041","-7.02%"
"04/01/2011","3.290","3.476","3.619","3.283","-5.19%"
"03/01/2011","3.470","3.440","3.598","3.143","1.40%"
"02/01/2011","3.422","3.372","3.770","3.372","1.42%"
"01/01/2011","3.374","3.305","3.497","3.253","2.62%"
"12/01/2010","3.288","2.809","3.568","2.797","17.55%"
"11/01/2010","2.797","2.621","2.967","2.458","7.45%"
"10/01/2010","2.603","2.515","2.731","2.334","3.62%"
"09/01/2010","2.512","2.482","2.849","2.449","1.70%"
"08/01/2010","2.470","2.925","2.972","2.419","-14.97%"
"07/01/2010","2.905","2.942","3.132","2.855","-1.02%"
"06/01/2010","2.935","3.300","3.427","2.928","-11.14%"
"05/01/2010","3.303","3.663","3.713","3.064","-9.73%"
"04/01/2010","3.659","3.839","4.013","3.655","-4.54%"
"03/01/2010","3.833","3.625","3.928","3.593","5.91%"
"02/01/2010","3.619","3.606","3.828","3.537","0.86%"
"01/01/2010","3.588","3.858","3.904","3.563","-6.49%"
"12/01/2009","3.837","3.207","3.918","3.196","19.98%"
"11/01/2009","3.198","3.396","3.563","3.154","-5.61%"
"10/01/2009","3.388","3.318","3.581","3.106","2.51%"
"09/01/2009","3.305","3.403","3.534","3.272","-2.82%"
"08/01/2009","3.401","3.512","3.893","3.374","-2.33%"
"07/01/2009","3.482","3.527","3.766","3.261","-1.55%"
"06/01/2009","3.537","3.492","4.008","3.454","2.20%"
"05/01/2009","3.461","3.115","3.754","3.072","10.97%"
"04/01/2009","3.119","2.668","3.166","2.650","16.90%"
"03/01/2009","2.668","3.020","3.045","2.462","-11.68%"
"02/01/2009","3.021","2.851","3.058","2.619","5.96%"
"01/01/2009","2.851","2.250","2.894","2.148","28.42%"
"12/01/2008","2.220","2.960","2.962","2.040","-23.97%"
"11/01/2008","2.920","3.959","3.984","2.908","-26.45%"
"10/01/2008","3.970","3.748","4.110","3.402","3.68%"
"09/01/2008","3.829","3.827","3.909","3.251","0.10%"
"08/01/2008","3.825","3.958","4.094","3.763","-3.36%"
"07/01/2008","3.958","3.967","4.178","3.771","-0.43%"
"06/01/2008","3.975","4.058","4.288","3.858","-2.26%"
"05/01/2008","4.067","3.740","4.141","3.683","8.92%"
"04/01/2008","3.734","3.734","3.734","3.734","9.15%"
"03/01/2008","3.421","3.421","3.421","3.421","-2.78%"
"02/01/2008","3.519","3.519","3.519","3.519","-2.17%"
"01/01/2008","3.597","3.597","3.597","3.597","-10.86%"
"12/01/2007","4.035","4.035","4.035","4.035","2.18%"
"11/01/2007","3.949","3.949","3.949","3.949","-11.71%"
"10/01/2007","4.473","4.473","4.473","4.473","-2.63%"
"09/01/2007","4.594","4.594","4.594","4.594","1.48%"
"08/01/2007","4.527","4.527","4.527","4.527","-4.35%"
"07/01/2007","4.733","4.733","4.733","4.733","-5.85%"
"06/01/2007","5.027","5.027","5.027","5.027","2.76%"
"05/01/2007","4.892","4.892","4.892","4.892","5.70%"
"04/01/2007","4.628","4.628","4.628","4.628","-0.43%"
"03/01/2007","4.648","4.648","4.648","4.648","1.55%"
"02/01/2007","4.577","4.577","4.577","4.577","-4.92%"
"01/01/2007","4.814","4.814","4.814","4.814","2.43%"
"12/01/2006","4.700","4.700","4.700","4.700","5.33%"
"11/01/2006","4.462","4.462","4.462","4.462","-3.08%"
"10/01/2006","4.604","4.604","4.604","4.604","-0.63%"
"09/01/2006","4.633","4.633","4.633","4.633","-2.09%"
"08/01/2006","4.732","4.732","4.732","4.732","-5.13%"
"07/01/2006","4.988","4.988","4.988","4.988","-3.05%"
"06/01/2006","5.145","5.145","5.145","5.145","0.43%"
"05/01/2006","5.123","5.123","5.123","5.123","1.31%"
"04/01/2006","5.057","5.057","5.057","5.057","4.20%"
"03/01/2006","4.853","4.853","4.853","4.853","6.50%"
"02/01/2006","4.557","4.557","4.557","4.557","0.84%"
"01/01/2006","4.519","4.519","4.519","4.519","2.82%"
"12/01/2005","4.395","4.395","4.395","4.395","-2.12%"
"11/01/2005","4.490","4.490","4.490","4.490","-1.47%"
"10/01/2005","4.557","4.557","4.557","4.557","5.19%"
"09/01/2005","4.332","4.332","4.332","4.332","7.92%"
"08/01/2005","4.014","4.014","4.014","4.014","-6.26%"
"07/01/2005","4.282","4.282","4.282","4.282","9.21%"
"06/01/2005","3.921","3.921","3.921","3.921","-1.66%"
"05/01/2005","3.987","3.987","3.987","3.987","-5.07%"
"04/01/2005","4.200","4.200","4.200","4.200","-6.42%"
"03/01/2005","4.488","4.488","4.488","4.488","2.44%"
"02/01/2005","4.381","4.381","4.381","4.381","6.03%"
"01/01/2005","4.132","4.132","4.132","4.132","-2.13%"
"12/01/2004","4.222","4.222","4.222","4.222","-3.05%"
"11/01/2004","4.355","4.355","4.355","4.355","8.09%"
"10/01/2004","4.029","4.029","4.029","4.029","-2.28%"
"09/01/2004","4.123","4.123","4.123","4.123","-2.76%"
"08/01/2004","4.240","4.240","4.240","4.240","-5.59%"
"07/01/2004","4.491","4.491","4.491","4.491","-2.01%"
"06/01/2004","4.583","4.583","4.583","4.583","-1.76%"
"05/01/2004","4.665","4.665","4.665","4.665","3.44%"
"04/01/2004","4.510","4.510","4.510","4.510","17.54%"
"03/01/2004","3.837","3.837","3.837","3.837","-3.40%"
"02/01/2004","3.972","3.972","3.972","3.972","-3.92%"
"01/01/2004","4.134","4.134","4.134","4.134","-2.80%"
"12/01/2003","4.253","4.253","4.253","4.253","-1.87%"
"11/01/2003","4.334","4.334","4.334","4.334","0.86%"
"10/01/2003","4.297","4.297","4.297","4.297","9.06%"
"09/01/2003","3.940","3.940","3.940","3.940","-11.86%"
"08/01/2003","4.470","4.470","4.470","4.470","1.36%"
"07/01/2003","4.410","4.410","4.410","4.410","25.43%"
"06/01/2003","3.516","3.516","3.516","3.516","4.24%"
"05/01/2003","3.373","3.373","3.373","3.373","-12.16%"
"04/01/2003","3.840","3.840","3.840","3.840","1.00%"
"03/01/2003","3.802","3.802","3.802","3.802","2.98%"
"02/01/2003","3.692","3.692","3.692","3.692","-6.91%"
"01/01/2003","3.966","3.966","3.966","3.966","3.88%"
"12/01/2002","3.818","3.818","3.818","3.818","-9.33%"
"11/01/2002","4.211","4.211","4.211","4.211","8.11%"
"10/01/2002","3.895","3.895","3.895","3.895","8.19%"
"09/01/2002","3.600","3.600","3.600","3.600","-12.83%"
"08/01/2002","4.130","4.130","4.130","4.130","-7.38%"
"07/01/2002","4.459","4.459","4.459","4.459","-7.28%"
"06/01/2002","4.809","4.809","4.809","4.809","-4.68%"
"05/01/2002","5.045","5.045","5.045","5.045","-0.86%"
"04/01/2002","5.089","5.089","5.089","5.089","-5.86%"
"03/01/2002","5.406","5.406","5.406","5.406","10.92%"
"02/01/2002","4.874","4.874","4.874","4.874","-3.41%"
"01/01/2002","5.046","5.046","5.046","5.046","0.34%"
"12/01/2001","5.029","5.029","5.029","5.029","5.78%"
"11/01/2001","4.754","4.754","4.754","4.754","12.02%"
"10/01/2001","4.244","4.244","4.244","4.244","-7.54%"
"09/01/2001","4.590","4.590","4.590","4.590","-5.17%"
"08/01/2001","4.840","4.840","4.840","4.840","-4.25%"
"07/01/2001","5.055","5.055","5.055","5.055","-6.46%"
"06/01/2001","5.404","5.404","5.404","5.404","0.35%"
"05/01/2001","5.385","5.385","5.385","5.385","0.92%"
"04/01/2001","5.336","5.336","5.336","5.336","8.57%"
"03/01/2001","4.915","4.915","4.915","4.915","0.22%"
"02/01/2001","4.904","4.904","4.904","4.904","-4.07%"
"01/01/2001","5.112","5.112","5.112","5.112","0.00%"
