"Date","Price","Open","High","Low","Change %"
"01/01/2025","4.422","4.380","4.624","4.333","0.96%"
"12/01/2024","4.380","4.088","4.491","4.008","8.08%"
"11/01/2024","4.053","4.165","4.385","4.047","-2.44%"
"10/01/2024","4.154","3.555","4.209","3.471","16.62%"
"09/01/2024","3.562","3.725","3.730","3.379","-3.94%"
"08/01/2024","3.708","3.939","3.955","3.455","-5.33%"
"07/01/2024","3.917","4.385","4.454","3.913","-10.36%"
"06/01/2024","4.369","4.502","4.512","4.196","-3.09%"
"05/01/2024","4.509","4.717","4.724","4.315","-4.38%"
"04/01/2024","4.715","4.198","4.753","4.190","11.75%"
"03/01/2024","4.220","4.250","4.368","3.994","-0.76%"
"02/01/2024","4.252","3.859","4.366","3.749","10.76%"
"01/01/2024","3.839","3.889","4.111","3.800","-0.03%"
"12/01/2023","3.840","4.256","4.302","3.785","-10.14%"
"11/01/2023","4.273","4.848","4.855","4.186","-11.83%"
"10/01/2023","4.846","4.655","4.997","4.541","4.99%"
"09/01/2023","4.616","4.258","4.747","4.165","8.64%"
"08/01/2023","4.249","4.179","4.499","4.063","1.54%"
"07/01/2023","4.184","4.170","4.497","3.919","0.65%"
"06/01/2023","4.157","3.748","4.198","3.665","10.63%"
"05/01/2023","3.758","3.521","3.990","3.204","7.43%"
"04/01/2023","3.498","3.637","3.756","3.266","-2.38%"
"03/01/2023","3.584","4.201","4.375","3.239","-14.38%"
"02/01/2023","4.185","3.626","4.247","3.411","15.65%"
"01/01/2023","3.619","3.964","3.978","3.386","-9.54%"
"12/01/2022","4.000","3.749","4.035","3.556","6.61%"
"11/01/2022","3.752","4.237","4.455","3.738","-11.30%"
"10/01/2022","4.230","4.066","4.506","3.768","3.51%"
"09/01/2022","4.087","3.354","4.251","3.269","21.89%"
"08/01/2022","3.353","2.703","3.358","2.579","25.05%"
"07/01/2022","2.681","3.053","3.212","2.653","-11.89%"
"06/01/2022","3.043","2.839","3.623","2.819","7.88%"
"05/01/2022","2.821","2.967","3.109","2.667","-4.76%"
"04/01/2022","2.962","2.473","3.049","2.472","20.16%"
"03/01/2022","2.465","1.737","2.673","1.523","43.90%"
"02/01/2022","1.713","1.619","1.984","1.570","6.10%"
"01/01/2022","1.614","1.321","1.701","1.291","27.82%"
"12/01/2021","1.263","1.198","1.310","1.115","8.16%"
"11/01/2021","1.168","1.214","1.380","1.041","-1.44%"
"10/01/2021","1.185","0.978","1.252","0.920","21.98%"
"09/01/2021","0.971","0.785","1.042","0.744","25.25%"
"08/01/2021","0.775","0.698","0.864","0.606","11.82%"
"07/01/2021","0.693","0.893","0.925","0.631","-22.17%"
"06/01/2021","0.891","0.806","0.962","0.707","13.03%"
"05/01/2021","0.788","0.856","0.873","0.716","-7.18%"
"04/01/2021","0.849","0.934","0.988","0.779","-9.43%"
"03/01/2021","0.938","0.702","0.951","0.659","28.50%"
"02/01/2021","0.730","0.421","0.865","0.413","71.45%"
"01/01/2021","0.426","0.367","0.533","0.350","17.96%"
"12/01/2020","0.361","0.364","0.435","0.342","-0.85%"
"11/01/2020","0.364","0.373","0.465","0.307","-5.33%"
"10/01/2020","0.384","0.280","0.389","0.255","38.07%"
"09/01/2020","0.278","0.271","0.305","0.226","3.53%"
"08/01/2020","0.269","0.212","0.329","0.189","28.60%"
"07/01/2020","0.209","0.289","0.331","0.206","-27.35%"
"06/01/2020","0.288","0.294","0.506","0.266","-5.20%"
"05/01/2020","0.304","0.358","0.405","0.272","-16.94%"
"04/01/2020","0.366","0.366","0.519","0.301","-2.17%"
"03/01/2020","0.374","0.875","0.950","0.312","-60.74%"
"02/01/2020","0.952","1.323","1.497","0.894","-27.63%"
"01/01/2020","1.315","1.697","1.715","1.310","-22.31%"
"12/01/2019","1.693","1.642","1.777","1.518","4.22%"
"11/01/2019","1.624","1.520","1.783","1.498","7.00%"
"10/01/2019","1.518","1.549","1.685","1.319","-1.79%"
"09/01/2019","1.546","1.390","1.762","1.308","11.08%"
"08/01/2019","1.391","1.840","1.872","1.328","-23.65%"
"07/01/2019","1.822","1.816","1.921","1.709","3.07%"
"06/01/2019","1.768","1.908","1.945","1.709","-7.72%"
"05/01/2019","1.916","2.283","2.395","1.908","-15.91%"
"04/01/2019","2.278","2.261","2.430","2.246","1.88%"
"03/01/2019","2.236","2.514","2.570","2.118","-11.10%"
"02/01/2019","2.516","2.451","2.550","2.429","3.10%"
"01/01/2019","2.440","2.524","2.635","2.351","-2.77%"
"12/01/2018","2.510","2.870","2.887","2.498","-11.09%"
"11/01/2018","2.823","2.982","3.098","2.809","-5.23%"
"10/01/2018","2.978","2.960","3.092","2.885","0.80%"
"09/01/2018","2.955","2.738","2.990","2.733","7.90%"
"08/01/2018","2.738","2.841","2.887","2.692","-3.85%"
"07/01/2018","2.848","2.736","2.868","2.701","3.96%"
"06/01/2018","2.740","2.696","2.871","2.694","1.48%"
"05/01/2018","2.700","2.802","2.957","2.559","-3.61%"
"04/01/2018","2.801","2.580","2.854","2.535","9.31%"
"03/01/2018","2.562","2.645","2.735","2.540","-3.14%"
"02/01/2018","2.645","2.532","2.693","2.343","4.87%"
"01/01/2018","2.522","2.231","2.553","2.215","14.32%"
"12/01/2017","2.206","2.142","2.263","2.068","2.98%"
"11/01/2017","2.142","2.018","2.156","1.975","6.33%"
"10/01/2017","2.015","1.944","2.093","1.893","3.90%"
"09/01/2017","1.939","1.710","1.954","1.599","13.73%"
"08/01/2017","1.705","1.844","1.857","1.669","-7.18%"
"07/01/2017","1.837","1.895","1.968","1.795","-2.62%"
"06/01/2017","1.887","1.762","1.893","1.673","7.61%"
"05/01/2017","1.753","1.814","1.951","1.713","-3.62%"
"04/01/2017","1.819","1.931","1.939","1.696","-5.47%"
"03/01/2017","1.924","1.959","2.148","1.883","-0.68%"
"02/01/2017","1.938","1.921","2.020","1.794","0.86%"
"01/01/2017","1.921","1.922","2.017","1.804","-0.67%"
"12/01/2016","1.934","1.855","2.124","1.788","4.62%"
"11/01/2016","1.849","1.320","1.906","1.153","41.64%"
