"Date","Price","Open","High","Low","Vol.","Change %"
"01-01-2025","107.46","108.36","110.18","107.22","0.02K","-0.95%"
"01-12-2024","108.49","105.83","108.58","105.42","","2.60%"
"01-11-2024","105.74","103.86","108.07","103.37","","1.69%"
"01-10-2024","103.98","100.74","104.64","100.70","","3.18%"
"01-09-2024","100.78","101.73","101.92","100.16","","-0.90%"
"01-08-2024","101.70","104.07","104.45","100.51","","-2.31%"
"01-07-2024","104.10","105.85","106.05","103.65","","-1.67%"
"01-06-2024","105.87","104.62","106.13","103.99","","1.15%"
"01-05-2024","104.67","106.31","106.49","104.08","","-1.46%"
"01-04-2024","106.22","104.49","106.52","103.88","","1.60%"
"01-03-2024","104.55","104.13","104.73","102.36","","0.37%"
"01-02-2024","104.16","103.51","104.98","102.90","","0.86%"
"01-01-2024","103.27","101.42","103.82","101.34","","1.91%"
"01-12-2023","101.33","103.36","104.26","100.62","","-2.10%"
"01-11-2023","103.50","106.67","107.11","102.47","","-2.96%"
"01-10-2023","106.66","106.17","107.35","105.36","","0.41%"
"01-09-2023","106.22","103.62","106.84","103.27","","2.51%"
"01-08-2023","103.62","101.87","104.45","101.74","","1.73%"
"01-07-2023","101.86","102.93","103.57","99.58","","-1.02%"
"01-06-2023","102.91","104.15","104.50","101.92","","-1.36%"
"01-05-2023","104.33","101.67","104.70","101.03","","2.63%"
"01-04-2023","101.66","102.59","103.06","100.79","","-0.83%"
"01-03-2023","102.51","105.04","105.88","101.92","","-2.25%"
"01-02-2023","104.87","102.09","105.36","100.82","","2.71%"
"01-01-2023","102.10","103.66","105.63","101.50","","-1.37%"
"01-12-2022","103.52","105.70","105.90","103.39","","-2.29%"
"01-11-2022","105.95","111.52","113.15","105.32","","-5.00%"
"01-10-2022","111.53","112.17","113.94","109.53","","-0.53%"
"01-09-2022","112.12","108.84","114.78","107.68","","3.15%"
"01-08-2022","108.70","105.83","109.48","104.64","","2.64%"
"01-07-2022","105.90","104.78","109.29","104.74","","1.16%"
