"Date","Price","Open","High","Low","Change %"
"03/01/2022","0.520","0.408","0.686","0.320","61.49%"
"02/01/2022","0.322","0.246","0.469","0.190","74.05%"
"01/01/2022","0.185","0.056","0.236","0.048","249.06%"
"12/01/2021","0.053","0.058","0.091","0.043","0.00%"
"11/01/2021","0.053","0.063","0.089","0.041","-8.62%"
"10/01/2021","0.058","0.043","0.079","0.036","52.63%"
"09/01/2021","0.038","0.046","0.058","0.025","-17.39%"
"08/01/2021","0.046","0.056","0.081","0.043","0.00%"
"07/01/2021","0.046","0.048","0.063","0.041","0.00%"
"06/01/2021","0.046","0.020","0.066","0.013","253.85%"
"05/01/2021","0.013","0.010","0.033","0.005","0.00%"
"04/01/2021","0.013","0.023","0.041","0.010","-43.48%"
"03/01/2021","0.023","0.043","0.056","0.005","-43.90%"
"02/01/2021","0.041","0.056","0.076","0.028","-29.31%"
"01/01/2021","0.058","0.079","0.101","0.053","-26.58%"
"12/01/2020","0.079","0.096","0.117","0.068","-2.47%"
"11/01/2020","0.081","0.097","0.117","0.058","-13.83%"
"10/01/2020","0.094","0.107","0.122","0.089","-2.08%"
"09/01/2020","0.096","0.122","0.124","0.086","-9.43%"
"08/01/2020","0.106","0.091","0.142","0.086","12.77%"
"07/01/2020","0.094","0.150","0.193","0.094","-36.05%"
"06/01/2020","0.147","0.158","0.233","0.137","3.52%"
"05/01/2020","0.142","0.127","0.170","0.104","33.96%"
"04/01/2020","0.106","0.214","0.433","0.071","-19.70%"
"03/01/2020","0.132","1.277","1.351","-0.058","-89.73%"
"02/01/2020","1.285","1.556","1.607","1.275","-17.31%"
"01/01/2020","1.554","1.556","1.613","1.508","-0.13%"
"12/01/2019","1.556","1.590","1.756","1.520","-1.95%"
"11/01/2019","1.587","1.560","1.674","1.521","2.65%"
"10/01/2019","1.546","1.874","1.874","1.542","-15.29%"
"09/01/2019","1.825","1.987","2.056","1.787","-8.15%"
"08/01/2019","1.987","2.072","2.103","1.869","-4.70%"
"07/01/2019","2.085","2.107","2.279","2.021","-0.71%"
"06/01/2019","2.100","2.347","2.373","2.100","-10.79%"
"05/01/2019","2.354","2.441","2.510","2.342","-3.21%"
"04/01/2019","2.432","2.417","2.556","2.383","1.33%"
"03/01/2019","2.400","2.440","2.492","2.391","-1.64%"
"02/01/2019","2.440","2.401","2.464","2.381","1.79%"
"01/01/2019","2.397","2.469","2.474","2.363","0.67%"
"12/01/2018","2.381","2.358","2.480","2.340","0.76%"
"11/01/2018","2.363","2.330","2.425","2.319","1.29%"
"10/01/2018","2.333","2.201","2.366","2.201","6.09%"
"09/01/2018","2.199","2.112","2.223","2.096","4.52%"
"08/01/2018","2.104","2.033","2.130","2.000","3.49%"
"07/01/2018","2.033","1.935","2.048","1.920","5.89%"
"06/01/2018","1.920","1.915","1.961","1.894","0.26%"
"05/01/2018","1.915","1.874","1.959","1.821","5.98%"
"04/01/2018","1.807","1.723","1.880","1.703","5.36%"
"03/01/2018","1.715","1.654","1.823","1.621","3.38%"
"02/01/2018","1.659","1.450","1.685","1.450","13.24%"
