"Date","Price","Open","High","Low","Change %"
"03/01/2021","2.415","2.147","2.518","2.138","12.12%"
"02/01/2021","2.154","1.840","2.401","1.826","17.37%"
"01/01/2021","1.835","1.662","1.915","1.638","11.49%"
"12/01/2020","1.646","1.574","1.750","1.562","4.91%"
"11/01/2020","1.569","1.637","1.767","1.481","-5.38%"
"10/01/2020","1.658","1.462","1.690","1.425","14.02%"
"09/01/2020","1.454","1.482","1.516","1.320","-1.46%"
"08/01/2020","1.476","1.199","1.577","1.165","23.45%"
"07/01/2020","1.196","1.412","1.480","1.176","-15.37%"
"06/01/2020","1.413","1.400","1.762","1.356","0.12%"
"05/01/2020","1.411","1.274","1.485","1.230","9.14%"
"04/01/2020","1.293","1.327","1.417","1.126","-1.78%"
"03/01/2020","1.316","1.642","1.943","0.702","-21.85%"
"02/01/2020","1.684","2.006","2.159","1.638","-15.67%"
"01/01/2020","1.997","2.395","2.419","1.992","-16.41%"
"12/01/2019","2.389","2.221","2.393","2.142","8.46%"
"11/01/2019","2.203","2.180","2.444","2.167","1.34%"
"10/01/2019","2.173","2.118","2.352","1.998","2.81%"
"09/01/2019","2.114","1.975","2.386","1.909","7.68%"
"08/01/2019","1.963","2.531","2.559","1.905","-22.11%"
"07/01/2019","2.521","2.558","2.677","2.456","-0.51%"
"06/01/2019","2.533","2.566","2.656","2.480","-1.45%"
"05/01/2019","2.571","2.936","2.962","2.567","-12.25%"
"04/01/2019","2.930","2.833","3.011","2.831","4.02%"
"03/01/2019","2.816","3.083","3.137","2.791","-8.61%"
"02/01/2019","3.082","3.006","3.101","2.969","2.82%"
"01/01/2019","2.997","3.016","3.109","2.888","-0.75%"
"12/01/2018","3.020","3.324","3.335","2.957","-8.32%"
"11/01/2018","3.294","3.402","3.467","3.278","-3.01%"
"10/01/2018","3.396","3.210","3.446","3.196","5.86%"
"09/01/2018","3.208","3.030","3.249","3.020","6.26%"
"08/01/2018","3.019","3.081","3.148","2.960","-2.02%"
"07/01/2018","3.081","2.991","3.116","2.924","3.06%"
"06/01/2018","2.990","3.025","3.152","2.954","-1.15%"
"05/01/2018","3.024","3.125","3.264","2.954","-3.18%"
"04/01/2018","3.124","2.991","3.219","2.956","5.10%"
"03/01/2018","2.972","3.129","3.178","2.968","-4.97%"
"02/01/2018","3.128","2.947","3.233","2.938","6.36%"
"01/01/2018","2.941","2.744","2.994","2.744","7.35%"
"12/01/2017","2.739","2.828","2.884","2.678","-3.29%"
"11/01/2017","2.832","2.879","2.899","2.738","-1.50%"
"10/01/2017","2.875","2.865","2.980","2.801","0.34%"
"09/01/2017","2.866","2.731","2.904","2.636","5.09%"
"08/01/2017","2.727","2.905","2.930","2.687","-6.01%"
"07/01/2017","2.901","2.849","2.946","2.796","2.38%"
"06/01/2017","2.834","2.868","2.893","2.682","-1.13%"
"05/01/2017","2.866","2.951","3.059","2.856","-3.09%"
"04/01/2017","2.958","3.015","3.035","2.824","-1.79%"
"03/01/2017","3.012","3.007","3.215","2.960","0.47%"
"02/01/2017","2.998","3.065","3.127","2.945","-2.37%"
"01/01/2017","3.070","3.054","3.131","2.902","0.25%"
"12/01/2016","3.063","3.048","3.215","3.008","0.60%"
"11/01/2016","3.044","2.592","3.091","2.522","18.01%"
"10/01/2016","2.580","2.318","2.639","2.305","11.28%"
"09/01/2016","2.318","2.233","2.500","2.206","3.94%"
"08/01/2016","2.231","2.190","2.340","2.188","2.49%"
"07/01/2016","2.177","2.285","2.360","2.089","-4.91%"
"06/01/2016","2.289","2.647","2.658","2.247","-13.66%"
"05/01/2016","2.651","2.677","2.728","2.546","-1.07%"
"04/01/2016","2.680","2.623","2.764","2.511","2.59%"
"03/01/2016","2.612","2.622","2.759","2.586","-0.14%"
"02/01/2016","2.616","2.757","2.781","2.380","-4.78%"
"01/01/2016","2.747","3.037","3.038","2.711","-8.90%"
"12/01/2015","3.015","2.979","3.114","2.866","1.39%"
"11/01/2015","2.974","2.915","3.139","2.909","1.68%"
"10/01/2015","2.925","2.855","2.988","2.749","2.48%"
"09/01/2015","2.854","2.955","3.092","2.841","-3.60%"
"08/01/2015","2.960","2.919","2.965","2.624","1.78%"
"07/01/2015","2.908","3.134","3.250","2.895","-6.76%"
"06/01/2015","3.119","2.888","3.256","2.864","8.22%"
"05/01/2015","2.883","2.751","3.128","2.747","5.04%"
"04/01/2015","2.744","2.542","2.813","2.441","8.03%"
"03/01/2015","2.540","2.600","2.870","2.444","-2.04%"
"02/01/2015","2.593","2.231","2.747","2.230","16.67%"
"01/01/2015","2.223","2.776","2.786","2.221","-19.15%"
"12/01/2014","2.750","2.897","3.017","2.670","-4.97%"
"11/01/2014","2.893","3.041","3.133","2.889","-5.64%"
"10/01/2014","3.066","3.210","3.276","2.673","-4.25%"
"09/01/2014","3.202","3.092","3.391","3.089","3.84%"
"08/01/2014","3.084","3.320","3.370","3.059","-7.09%"
"07/01/2014","3.319","3.362","3.516","3.217","-1.26%"
"06/01/2014","3.362","3.333","3.499","3.324","1.04%"
"05/01/2014","3.327","3.471","3.503","3.266","-3.76%"
"04/01/2014","3.457","3.563","3.654","3.418","-2.90%"
"03/01/2014","3.560","3.558","3.752","3.493","-0.67%"
"02/01/2014","3.584","3.614","3.743","3.525","-0.43%"
"01/01/2014","3.599","3.965","3.983","3.594","-9.20%"
"12/01/2013","3.964","3.825","4.001","3.779","3.86%"
"11/01/2013","3.817","3.643","3.938","3.637","4.90%"
"10/01/2013","3.639","3.688","3.804","3.565","-1.46%"
"09/01/2013","3.693","3.741","3.922","3.642","-0.64%"
"08/01/2013","3.716","3.650","3.940","3.602","1.93%"
"07/01/2013","3.646","3.507","3.793","3.418","4.18%"
"06/01/2013","3.499","3.306","3.652","3.169","6.75%"
"05/01/2013","3.278","2.873","3.370","2.810","13.83%"
"04/01/2013","2.880","3.140","3.140","2.823","-7.21%"
"03/01/2013","3.104","3.086","3.286","3.037","0.46%"
"02/01/2013","3.090","3.181","3.254","3.030","-2.49%"
"01/01/2013","3.168","2.952","3.222","2.952","7.32%"
"12/01/2012","2.952","2.811","3.036","2.745","5.05%"
"11/01/2012","2.810","2.864","2.963","2.695","-1.72%"
"10/01/2012","2.859","2.814","3.023","2.796","1.29%"
"09/01/2012","2.823","2.695","3.121","2.654","5.79%"
"08/01/2012","2.668","2.550","2.984","2.508","4.64%"
"07/01/2012","2.550","2.759","2.761","2.443","-7.40%"
"06/01/2012","2.754","2.654","2.854","2.510","4.29%"
"05/01/2012","2.641","3.118","3.169","2.585","-15.21%"
"04/01/2012","3.114","3.363","3.445","3.057","-6.83%"
"03/01/2012","3.343","3.094","3.492","3.059","8.47%"
"02/01/2012","3.082","2.941","3.234","2.939","4.88%"
"01/01/2012","2.938","2.891","3.182","2.879","1.63%"
"12/01/2011","2.891","3.069","3.161","2.778","-5.36%"
"11/01/2011","3.055","3.148","3.201","2.816","-2.43%"
"10/01/2011","3.131","2.921","3.489","2.694","7.43%"
"09/01/2011","2.914","3.605","3.654","2.739","-19.30%"
"08/01/2011","3.611","4.140","4.204","3.341","-12.44%"
"07/01/2011","4.124","4.374","4.416","4.104","-5.78%"
"06/01/2011","4.377","4.231","4.451","4.131","3.67%"
"05/01/2011","4.221","4.405","4.425","4.202","-4.01%"
"04/01/2011","4.398","4.509","4.678","4.387","-2.50%"
"03/01/2011","4.510","4.513","4.678","4.318","0.42%"
"02/01/2011","4.491","4.576","4.791","4.483","-1.79%"
"01/01/2011","4.573","4.349","4.645","4.252","5.47%"
"12/01/2010","4.336","4.128","4.625","4.108","5.44%"
"11/01/2010","4.112","4.008","4.424","3.861","3.23%"
"10/01/2010","3.984","3.690","4.075","3.637","8.06%"
"09/01/2010","3.687","3.524","3.960","3.520","4.75%"
