"Date","Price","Open","High","Low","Vol.","Change %"
"01-01-2025","3,342.76","3,232.61","3,350.76","3,165.78","","3.78%"
"01-12-2024","3,221.05","3,320.33","3,354.58","3,195.04","","-2.90%"
"01-11-2024","3,317.38","3,118.49","3,324.33","3,116.68","","6.30%"
"01-10-2024","3,120.81","3,142.19","3,212.41","3,097.76","","-0.77%"
"01-09-2024","3,145.06","3,071.26","3,147.07","2,947.10","","2.02%"
"01-08-2024","3,082.73","3,023.64","3,084.98","2,799.00","","2.23%"
"01-07-2024","3,015.48","2,981.95","3,092.94","2,942.53","","1.37%"
"01-06-2024","2,974.64","2,892.96","3,006.89","2,858.49","","3.19%"
"01-05-2024","2,882.75","2,754.53","2,920.85","2,746.19","","4.56%"
"01-04-2024","2,757.14","2,883.49","2,886.19","2,713.73","","-4.33%"
"01-03-2024","2,881.91","2,796.08","2,887.34","2,773.05","","3.09%"
"01-02-2024","2,795.56","2,664.92","2,800.33","2,659.45","","5.24%"
"01-01-2024","2,656.43","2,605.25","2,703.87","2,571.76","","1.31%"
"01-12-2023","2,622.14","2,498.87","2,636.42","2,494.02","","4.81%"
"01-11-2023","2,501.69","2,295.23","2,511.68","2,294.38","","9.13%"
"01-10-2023","2,292.38","2,348.75","2,406.79","2,243.79","","-2.51%"
"01-09-2023","2,351.35","2,480.20","2,488.97","2,323.30","","-4.80%"
"01-08-2023","2,470.02","2,513.79","2,514.73","2,374.58","","-1.92%"
"01-07-2023","2,518.42","2,437.06","2,526.49","2,398.61","","3.34%"
"01-06-2023","2,436.93","2,286.41","2,441.21","2,280.62","","6.62%"
"01-05-2023","2,285.65","2,277.59","2,313.19","2,212.72","","0.28%"
"01-04-2023","2,279.16","2,250.98","2,283.30","2,214.64","","1.15%"
"01-03-2023","2,253.36","2,187.44","2,254.06","2,089.50","","3.00%"
"01-02-2023","2,187.75","2,241.44","2,314.12","2,172.58","","-2.55%"
"01-01-2023","2,244.91","2,113.61","2,253.09","2,081.64","","6.60%"
"01-12-2022","2,105.90","2,242.95","2,250.50","2,064.50","","-5.95%"
"01-11-2022","2,239.12","2,141.92","2,239.12","2,032.11","","5.20%"
"01-10-2022","2,128.36","1,989.46","2,145.78","1,921.75","","7.91%"
"01-09-2022","1,972.29","2,162.53","2,268.80","1,971.66","","-9.38%"
"01-08-2022","2,176.45","2,253.96","2,381.86","2,176.31","","-4.00%"
"01-07-2022","2,267.10","2,075.00","2,272.12","2,041.98","","9.21%"
"01-06-2022","2,075.96","2,278.87","2,296.36","1,995.44","","-8.51%"
"01-05-2022","2,269.07","2,276.61","2,372.45","2,094.11","","-0.32%"
"01-04-2022","2,276.45","2,501.25","2,535.73","2,272.56","","-8.99%"
"01-03-2022","2,501.29","2,422.06","2,562.95","2,292.70","","3.24%"
"01-02-2022","2,422.79","2,494.64","2,542.17","2,277.90","","-2.88%"
"01-01-2022","2,494.64","2,645.68","2,672.00","2,330.65","","-5.72%"
"01-12-2021","2,645.91","2,547.72","2,669.60","2,499.56","","3.93%"
"01-11-2021","2,545.78","2,583.47","2,650.13","2,542.70","","-1.47%"
"01-10-2021","2,583.83","2,418.91","2,585.38","2,400.91","","6.85%"
"01-09-2021","2,418.16","2,537.58","2,551.48","2,417.72","","-4.70%"
"01-08-2021","2,537.31","2,470.28","2,546.80","2,448.64","","2.76%"
"01-07-2021","2,469.17","2,420.74","2,490.27","2,376.31","","1.98%"
"01-06-2021","2,421.14","2,365.17","2,425.10","2,342.71","","2.39%"
"01-05-2021","2,364.53","2,356.97","2,380.26","2,277.11","","0.33%"
"01-04-2021","2,356.67","2,242.24","2,380.42","2,242.24","","5.29%"
"01-03-2021","2,238.17","2,161.87","2,252.39","2,099.81","","3.65%"
"01-02-2021","2,159.32","2,101.64","2,246.86","2,101.64","","2.76%"
"01-01-2021","2,101.36","2,121.05","2,190.91","2,068.32","","-0.92%"
"01-12-2020","2,120.87","2,038.15","2,123.34","2,038.15","","4.10%"
"01-11-2020","2,037.36","1,826.91","2,050.02","1,826.91","","11.60%"
"01-10-2020","1,825.67","1,873.90","1,981.13","1,807.07","","-2.51%"
"01-09-2020","1,872.70","1,946.60","1,992.67","1,784.46","","-3.77%"
"01-08-2020","1,946.15","1,823.53","1,953.98","1,823.53","","7.17%"
"01-07-2020","1,815.99","1,719.60","1,822.03","1,718.51","","5.74%"
"01-06-2020","1,717.47","1,681.78","1,791.51","1,640.90","","2.06%"
"01-05-2020","1,682.75","1,573.43","1,695.64","1,521.90","","5.05%"
"01-04-2020","1,601.82","1,393.09","1,626.74","1,340.46","","13.08%"
"01-03-2020","1,416.49","1,635.59","1,732.63","1,198.54","","-13.38%"
"01-02-2020","1,635.21","1,789.41","1,879.40","1,581.01","","-8.34%"
"01-01-2020","1,784.03","1,789.93","1,845.43","1,776.68","","-0.01%"
"01-12-2019","1,784.21","1,737.64","1,794.14","1,697.89","","2.73%"
"01-11-2019","1,736.85","1,682.78","1,744.65","1,682.78","","3.56%"
"01-10-2019","1,677.08","1,644.67","1,684.32","1,578.01","","2.00%"
"01-09-2019","1,644.18","1,617.91","1,670.52","1,600.02","","1.58%"
"01-08-2019","1,618.61","1,652.08","1,670.08","1,562.70","","-2.04%"
"01-07-2019","1,652.40","1,635.66","1,678.28","1,634.97","","1.44%"
"01-06-2019","1,629.02","1,524.71","1,640.18","1,511.92","","6.86%"
"01-05-2019","1,524.42","1,634.95","1,636.18","1,523.04","","-6.58%"
"01-04-2019","1,631.87","1,572.42","1,634.01","1,572.42","","3.93%"
"01-03-2019","1,570.23","1,547.04","1,584.88","1,509.85","","1.59%"
"01-02-2019","1,545.73","1,498.35","1,561.59","1,488.34","","3.16%"
"01-01-2019","1,498.36","1,383.14","1,500.86","1,350.05","","8.24%"
"01-12-2018","1,384.26","1,530.64","1,547.48","1,296.23","","-9.26%"
"01-11-2018","1,525.56","1,499.07","1,555.51","1,453.33","","1.80%"
"01-10-2018","1,498.65","1,616.61","1,626.58","1,438.76","","-7.18%"
"01-09-2018","1,614.54","1,610.88","1,629.73","1,589.65","","0.24%"
"01-08-2018","1,610.70","1,563.00","1,618.67","1,550.72","","3.23%"
"01-07-2018","1,560.36","1,509.09","1,577.97","1,499.72","","3.34%"
"01-06-2018","1,509.96","1,503.51","1,550.80","1,495.07","","0.51%"
"01-05-2018","1,502.31","1,468.13","1,521.66","1,439.50","","2.32%"
"01-04-2018","1,468.28","1,464.34","1,506.89","1,417.19","","0.23%"
"01-03-2018","1,464.87","1,501.37","1,551.92","1,435.52","","-2.42%"
"01-02-2018","1,501.23","1,561.32","1,568.14","1,402.57","","-3.87%"
"01-01-2018","1,561.66","1,482.32","1,588.98","1,482.32","","5.39%"
"01-12-2017","1,481.81","1,467.40","1,492.35","1,444.43","","0.98%"
"01-11-2017","1,467.42","1,428.28","1,472.89","1,416.64","","2.80%"
"01-10-2017","1,427.40","1,397.18","1,431.06","1,397.18","","2.18%"
"01-09-2017","1,396.90","1,370.11","1,396.90","1,355.69","","1.99%"
"01-08-2017","1,369.61","1,368.84","1,379.34","1,338.24","","0.08%"
"01-07-2017","1,368.57","1,344.26","1,376.67","1,333.78","","1.86%"
"01-06-2017","1,343.52","1,336.31","1,359.70","1,333.45","","0.55%"
"01-05-2017","1,336.18","1,322.78","1,340.19","1,303.70","","1.04%"
"01-04-2017","1,322.44","1,310.19","1,330.51","1,291.27","","0.94%"
"01-03-2017","1,310.06","1,312.45","1,331.57","1,286.70","","-0.10%"
"01-02-2017","1,311.34","1,267.40","1,316.29","1,261.25","","3.63%"
"01-01-2017","1,265.35","1,241.96","1,277.98","1,241.96","","1.91%"
"01-12-2016","1,241.66","1,220.78","1,263.08","1,214.00","","1.72%"
"01-11-2016","1,220.68","1,177.67","1,229.18","1,154.34","","3.69%"
"01-10-2016","1,177.22","1,202.01","1,202.44","1,171.53","","-2.08%"
"01-09-2016","1,202.25","1,203.07","1,213.33","1,174.79","","-0.07%"
"01-08-2016","1,203.05","1,204.44","1,215.50","1,189.20","","-0.11%"
"01-07-2016","1,204.43","1,161.62","1,206.25","1,147.73","","3.69%"
"01-06-2016","1,161.57","1,160.66","1,175.14","1,101.55","","0.05%"
"01-05-2016","1,160.95","1,144.02","1,164.42","1,120.41","","1.50%"
"01-04-2016","1,143.76","1,138.34","1,168.10","1,124.09","","0.43%"
"01-03-2016","1,138.84","1,067.84","1,145.08","1,067.84","","6.78%"
"01-02-2016","1,066.58","1,068.11","1,082.09","995.55","","-0.30%"
"01-01-2016","1,069.78","1,128.31","1,128.31","998.66","","-5.49%"
"01-12-2015","1,131.88","1,155.34","1,167.40","1,103.52","","-1.97%"
"01-11-2015","1,154.66","1,153.65","1,174.30","1,120.37","","0.10%"
"01-10-2015","1,153.55","1,068.68","1,161.51","1,053.93","","7.96%"
