"Date","Price","Open","High","Low","Vol.","Change %"
"01-02-2019","1,910.3","1,837.0","1,946.3","1,831.3","","4.08%"
"01-01-2019","1,835.4","1,644.0","1,837.3","1,624.7","","10.36%"
"01-12-2018","1,663.0","1,900.1","1,905.6","1,565.8","","-11.48%"
"01-11-2018","1,878.7","1,832.3","1,911.9","1,801.7","","2.93%"
"01-10-2018","1,825.1","2,028.0","2,029.2","1,769.3","","-9.63%"
"01-09-2018","2,019.6","2,042.9","2,052.4","2,008.1","","-1.23%"
"01-08-2018","2,044.7","1,984.5","2,053.0","1,967.1","","3.03%"
"01-07-2018","1,984.5","1,941.7","2,015.6","1,936.2","","1.68%"
"01-06-2018","1,951.7","1,957.1","2,009.0","1,932.6","","0.27%"
"01-05-2018","1,946.4","1,865.9","1,973.9","1,852.0","","3.95%"
"01-04-2018","1,872.4","1,873.3","1,932.2","1,821.3","","-0.34%"
"01-03-2018","1,878.8","1,865.8","1,960.2","1,838.8","","0.76%"
"01-02-2018","1,864.6","1,949.8","1,960.7","1,770.2","","-4.57%"
"01-01-2018","1,954.0","1,906.8","2,001.5","1,904.1","","2.81%"
"01-12-2017","1,900.6","1,898.9","1,916.7","1,856.3","","0.07%"
"01-11-2017","1,899.2","1,842.6","1,906.8","1,807.2","","3.49%"
"01-10-2017","1,835.1","1,797.3","1,839.1","1,795.7","","2.18%"
"01-09-2017","1,795.9","1,733.9","1,799.0","1,707.6","","3.76%"
"01-08-2017","1,730.9","1,768.3","1,769.1","1,686.3","","-1.69%"
"01-07-2017","1,760.7","1,753.2","1,795.1","1,729.0","","0.80%"
"01-06-2017","1,746.7","1,726.5","1,771.1","1,723.0","","1.45%"
"01-05-2017","1,721.7","1,737.4","1,743.9","1,683.7","","-0.64%"
"01-04-2017","1,732.8","1,721.4","1,756.4","1,680.9","","0.76%"
"01-03-2017","1,719.7","1,744.7","1,761.1","1,673.3","","-0.56%"
"01-02-2017","1,729.3","1,694.4","1,749.8","1,676.9","","2.50%"
"01-01-2017","1,687.2","1,673.2","1,714.6","1,659.0","","1.60%"
"01-12-2016","1,660.6","1,630.2","1,698.7","1,619.0","","2.03%"
"01-11-2016","1,627.5","1,512.1","1,640.8","1,475.4","","7.82%"
"01-10-2016","1,509.5","1,548.7","1,554.1","1,497.0","","-2.76%"
"01-09-2016","1,552.3","1,565.2","1,581.5","1,509.8","","-0.80%"
"01-08-2016","1,564.8","1,559.2","1,575.7","1,533.2","","0.34%"
"01-07-2016","1,559.5","1,496.1","1,562.8","1,473.3","","4.21%"
"01-06-2016","1,496.5","1,486.6","1,526.6","1,409.5","","0.23%"
"01-05-2016","1,493.1","1,462.8","1,498.4","1,419.7","","2.15%"
"01-04-2016","1,461.7","1,437.7","1,490.1","1,411.1","","1.14%"
"01-03-2016","1,445.2","1,341.0","1,451.3","1,339.3","","8.32%"
"01-02-2016","1,334.2","1,310.9","1,347.8","1,229.1","","1.25%"
"01-01-2016","1,317.7","1,392.9","1,392.9","1,215.1","","-5.78%"
"01-12-2015","1,398.6","1,463.8","1,473.3","1,372.0","","-4.33%"
"01-11-2015","1,461.8","1,446.1","1,473.1","1,403.6","","1.18%"
"01-10-2015","1,444.8","1,369.3","1,453.6","1,347.1","","5.54%"
"01-09-2015","1,368.9","1,404.9","1,454.8","1,344.8","","-3.38%"
"01-08-2015","1,416.8","1,503.3","1,514.5","1,351.2","","-5.73%"
"01-07-2015","1,502.9","1,509.3","1,524.7","1,461.8","","0.05%"
"01-06-2015","1,502.2","1,528.7","1,551.3","1,499.1","","-1.48%"
"01-05-2015","1,524.7","1,503.6","1,545.8","1,492.2","","1.63%"
"01-04-2015","1,500.2","1,522.2","1,543.5","1,496.5","","-1.56%"
"01-03-2015","1,524.0","1,506.6","1,542.2","1,471.3","","1.16%"
"01-02-2015","1,506.5","1,436.7","1,519.9","1,420.1","","4.98%"
