"Date","Price","Open","High","Low","Vol.","Change %"
"01-04-2017","1,878.28","1,853.55","1,887.94","1,831.31","","1.33%"
"01-03-2017","1,853.69","1,834.55","1,868.84","1,831.83","","0.82%"
"01-02-2017","1,838.70","1,791.85","1,848.56","1,789.90","","2.58%"
"01-01-2017","1,792.40","1,749.61","1,810.75","1,747.94","","2.35%"
"01-12-2016","1,751.22","1,711.76","1,776.35","1,704.72","","2.29%"
"01-11-2016","1,712.09","1,691.60","1,725.28","1,657.06","","1.25%"
"01-10-2016","1,690.92","1,724.79","1,728.44","1,678.36","","-2.01%"
"01-09-2016","1,725.67","1,720.45","1,750.06","1,688.81","","0.36%"
"01-08-2016","1,719.52","1,719.86","1,742.50","1,696.79","","-0.13%"
"01-07-2016","1,721.79","1,653.07","1,723.25","1,625.74","","4.15%"
"01-06-2016","1,653.23","1,673.28","1,700.75","1,566.70","","-1.28%"
"01-05-2016","1,674.61","1,670.78","1,681.74","1,620.60","","0.23%"
"01-04-2016","1,670.80","1,646.88","1,698.15","1,616.76","","1.38%"
"01-03-2016","1,648.12","1,548.03","1,657.84","1,546.59","","6.52%"
"01-02-2016","1,547.17","1,562.73","1,570.93","1,459.79","","-0.96%"
"01-01-2016","1,562.18","1,663.05","1,663.16","1,468.36","","-6.05%"
"01-12-2015","1,662.79","1,694.52","1,712.41","1,619.67","","-1.87%"
"01-11-2015","1,694.40","1,705.70","1,723.81","1,649.47","","-0.67%"
"01-10-2015","1,705.80","1,582.12","1,714.13","1,573.27","","7.83%"
"01-09-2015","1,581.92","1,645.82","1,672.38","1,545.51","","-3.86%"
"01-08-2015","1,645.43","1,762.49","1,769.99","1,571.07","","-6.81%"
"01-07-2015","1,765.60","1,735.42","1,783.61","1,701.58","","1.73%"
"01-06-2015","1,735.61","1,778.43","1,799.45","1,732.65","","-2.46%"
"01-05-2015","1,779.31","1,778.71","1,813.90","1,761.37","","0.05%"
"01-04-2015","1,778.40","1,740.31","1,809.33","1,730.61","","2.16%"
"01-03-2015","1,740.81","1,771.04","1,783.37","1,708.72","","-1.81%"
"01-02-2015","1,772.86","1,678.78","1,780.31","1,671.69","","5.68%"
"01-01-2015","1,677.54","1,709.22","1,717.91","1,649.83","","-1.88%"
"01-12-2014","1,709.67","1,737.97","1,742.19","1,647.48","","-1.71%"
"01-11-2014","1,739.50","1,706.17","1,748.00","1,691.79","","1.84%"
"01-10-2014","1,708.09","1,698.35","1,708.29","1,571.81","","0.57%"
"01-09-2014","1,698.41","1,746.98","1,757.31","1,693.69","","-2.87%"
"01-08-2014","1,748.67","1,713.63","1,751.57","1,675.51","","2.00%"
"01-07-2014","1,714.33","1,743.70","1,765.77","1,714.33","","-1.67%"
"01-06-2014","1,743.42","1,715.37","1,749.97","1,711.47","","1.65%"
"01-05-2014","1,715.18","1,688.32","1,715.18","1,673.07","","1.63%"
"01-04-2014","1,687.74","1,673.25","1,692.85","1,631.22","","0.83%"
"01-03-2014","1,673.87","1,675.23","1,690.03","1,638.40","","-0.09%"
"01-02-2014","1,675.40","1,598.53","1,679.93","1,560.35","","4.81%"
"01-01-2014","1,598.46","1,659.56","1,664.23","1,588.65","","-3.77%"
"01-12-2013","1,661.07","1,627.21","1,661.07","1,585.57","","2.01%"
"01-11-2013","1,628.42","1,601.95","1,633.38","1,581.99","","1.59%"
"01-10-2013","1,602.86","1,542.56","1,618.93","1,513.62","","3.83%"
"01-09-2013","1,543.67","1,473.69","1,579.02","1,473.43","","4.82%"
"01-08-2013","1,472.74","1,509.71","1,535.15","1,471.27","","-2.33%"
"01-07-2013","1,507.91","1,435.06","1,525.27","1,433.15","","5.19%"
"01-06-2013","1,433.55","1,472.50","1,487.97","1,393.93","","-2.61%"
"01-05-2013","1,471.93","1,475.48","1,533.35","1,459.88","","-0.29%"
"01-04-2013","1,476.14","1,432.95","1,476.14","1,409.30","","2.90%"
"01-03-2013","1,434.51","1,403.52","1,445.80","1,390.99","","2.09%"
"01-02-2013","1,405.18","1,405.27","1,423.96","1,380.15","","-0.02%"
"01-01-2013","1,405.47","1,339.39","1,413.54","1,338.46","","5.00%"
"01-12-2012","1,338.50","1,315.29","1,355.34","1,308.78","","1.75%"
"01-11-2012","1,315.49","1,301.78","1,317.79","1,244.45","","1.07%"
"01-10-2012","1,301.52","1,309.30","1,343.48","1,295.57","","-0.76%"
"01-09-2012","1,311.50","1,278.20","1,353.69","1,269.24","","2.52%"
"01-08-2012","1,279.21","1,249.10","1,300.80","1,229.15","","2.29%"
"01-07-2012","1,250.57","1,236.10","1,257.64","1,197.18","","1.20%"
"01-06-2012","1,235.72","1,176.70","1,235.72","1,144.16","","4.93%"
"01-05-2012","1,177.64","1,293.57","1,302.10","1,168.83","","-8.99%"
"01-04-2012","1,293.99","1,313.81","1,326.96","1,257.13","","-1.37%"
"01-03-2012","1,312.01","1,296.16","1,331.55","1,263.12","","1.02%"
"01-02-2012","1,298.72","1,240.69","1,311.23","1,238.69","","4.66%"
"01-01-2012","1,240.89","1,181.36","1,259.40","1,181.28","","4.93%"
"01-12-2011","1,182.59","1,183.85","1,206.41","1,132.62","","-0.17%"
"01-11-2011","1,184.60","1,213.83","1,221.28","1,093.72","","-2.69%"
"01-10-2011","1,217.30","1,102.53","1,257.55","1,042.30","","10.26%"
"01-09-2011","1,104.06","1,210.79","1,218.73","1,079.62","","-8.85%"
"01-08-2011","1,211.22","1,305.92","1,319.43","1,113.16","","-7.26%"
"01-07-2011","1,306.05","1,330.56","1,354.49","1,292.26","","-1.89%"
"01-06-2011","1,331.18","1,355.61","1,357.02","1,267.55","","-1.73%"
"01-05-2011","1,354.61","1,389.76","1,397.57","1,310.10","","-2.45%"
"01-04-2011","1,388.62","1,333.68","1,390.18","1,309.06","","4.02%"
"01-03-2011","1,334.93","1,352.22","1,357.81","1,251.34","","-1.24%"
"01-02-2011","1,351.65","1,307.43","1,365.07","1,307.39","","3.33%"
"01-01-2011","1,308.08","1,277.20","1,323.94","1,269.52","","2.19%"
"01-12-2010","1,280.07","1,192.93","1,283.68","1,192.35","","7.25%"
"01-11-2010","1,193.56","1,224.35","1,269.14","1,188.19","","-2.35%"
"01-10-2010","1,222.23","1,177.54","1,238.02","1,172.38","","3.65%"
"01-09-2010","1,179.19","1,079.98","1,192.71","1,079.56","","9.11%"
"01-08-2010","1,080.70","1,126.10","1,159.01","1,064.05","","-3.92%"
"01-07-2010","1,124.83","1,039.81","1,140.61","1,026.19","","8.02%"
"01-06-2010","1,041.32","1,079.94","1,131.35","1,032.14","","-3.56%"
"01-05-2010","1,079.80","1,197.89","1,205.08","1,027.59","","-9.91%"
"01-04-2010","1,198.56","1,199.87","1,244.12","1,186.68","","-0.16%"
"01-03-2010","1,200.53","1,132.70","1,206.34","1,130.44","","5.93%"
"01-02-2010","1,133.35","1,118.26","1,149.92","1,081.50","","1.23%"
"01-01-2010","1,119.54","1,168.47","1,210.31","1,117.70","","-4.19%"
"01-12-2009","1,168.47","1,148.90","1,183.33","1,139.26","","1.69%"
"01-11-2009","1,149.01","1,105.07","1,179.54","1,093.11","","3.87%"
"01-10-2009","1,106.17","1,127.49","1,175.51","1,083.76","","-1.85%"
"01-09-2009","1,126.98","1,084.97","1,150.42","1,054.03","","3.81%"
"01-08-2009","1,085.60","1,049.07","1,102.02","1,032.73","","3.91%"
"01-07-2009","1,044.75","963.90","1,051.23","915.08","","8.37%"
"01-06-2009","964.05","969.84","1,005.24","933.66","","-0.61%"
"01-05-2009","970.00","892.00","971.06","889.28","","8.62%"
"01-04-2009","893.02","804.49","904.06","796.24","","10.90%"
"01-03-2009","805.22","749.80","844.57","684.07","","7.24%"
"01-02-2009","750.86","838.49","880.97","746.23","","-10.49%"
"01-01-2009","838.83","920.23","958.94","808.52","","-8.85%"
"01-12-2008","920.23","893.04","936.89","815.89","","3.06%"
"01-11-2008","892.93","959.17","1,013.58","759.00","","-6.72%"
"01-10-2008","957.25","1,184.02","1,192.91","829.05","","-18.99%"
"01-09-2008","1,181.67","1,343.21","1,343.64","1,145.64","","-12.13%"
"01-08-2008","1,344.86","1,366.89","1,372.35","1,311.05","","-1.60%"
"01-07-2008","1,366.70","1,402.44","1,403.20","1,313.59","","-2.53%"
"01-06-2008","1,402.13","1,526.37","1,527.97","1,393.54","","-8.10%"
"01-05-2008","1,525.73","1,511.71","1,567.01","1,503.83","","1.11%"
"01-04-2008","1,508.99","1,434.90","1,521.96","1,431.95","","4.98%"
"01-03-2008","1,437.40","1,456.50","1,456.54","1,367.45","","-1.25%"
"01-02-2008","1,455.56","1,467.99","1,504.02","1,402.28","","-0.74%"
"01-01-2008","1,466.35","1,587.12","1,593.05","1,356.11","","-7.71%"
"01-12-2007","1,588.80","1,610.40","1,645.36","1,545.99","","-1.37%"
"01-11-2007","1,610.94","1,683.71","1,686.13","1,539.60","","-4.24%"
"01-10-2007","1,682.35","1,636.09","1,686.32","1,604.70","","2.99%"
"01-09-2007","1,633.58","1,561.71","1,638.16","1,527.01","","4.61%"
"01-08-2007","1,561.59","1,565.49","1,592.79","1,454.13","","-0.27%"
"01-07-2007","1,565.81","1,603.99","1,658.47","1,551.92","","-2.28%"
"01-06-2007","1,602.36","1,617.16","1,633.01","1,569.89","","-0.90%"
"01-05-2007","1,616.87","1,577.76","1,620.81","1,571.06","","2.47%"
"01-04-2007","1,577.86","1,516.55","1,592.68","1,511.59","","4.21%"
"01-03-2007","1,514.18","1,491.31","1,528.87","1,444.63","","1.59%"
"01-02-2007","1,490.44","1,502.00","1,546.47","1,482.78","","-0.65%"
"01-01-2007","1,500.23","1,484.72","1,508.43","1,459.53","","1.12%"
"01-12-2006","1,483.58","1,454.63","1,490.24","1,446.82","","1.95%"
"01-11-2006","1,455.17","1,423.37","1,457.80","1,411.78","","2.27%"
"01-10-2006","1,422.93","1,373.78","1,432.29","1,367.83","","3.61%"
"01-09-2006","1,373.37","1,359.24","1,377.77","1,331.89","","1.07%"
"01-08-2006","1,358.87","1,327.07","1,362.21","1,314.40","","2.38%"
"01-07-2006","1,327.23","1,319.98","1,330.83","1,253.94","","0.55%"
"01-06-2006","1,319.93","1,321.11","1,345.75","1,241.16","","-0.18%"
"01-05-2006","1,322.25","1,375.26","1,407.70","1,299.54","","-3.72%"
"01-04-2006","1,373.38","1,336.00","1,377.81","1,329.41","","2.27%"
"01-03-2006","1,342.93","1,309.88","1,348.65","1,290.22","","2.56%"
"01-02-2006","1,309.45","1,313.50","1,320.81","1,281.93","","-0.29%"
"01-01-2006","1,313.21","1,259.89","1,316.22","1,259.11","","4.41%"
"01-12-2005","1,257.78","1,231.15","1,272.49","1,230.92","","2.14%"
"01-11-2005","1,231.41","1,193.54","1,246.57","1,193.44","","3.14%"
"01-10-2005","1,193.88","1,222.43","1,224.74","1,160.95","","-2.49%"
"01-09-2005","1,224.31","1,197.16","1,227.61","1,197.05","","2.47%"
"01-08-2005","1,194.81","1,186.61","1,214.18","1,178.60","","0.56%"
"01-07-2005","1,188.16","1,148.48","1,194.43","1,135.45","","3.43%"
"01-06-2005","1,148.81","1,138.90","1,169.03","1,138.30","","0.71%"
"01-05-2005","1,140.68","1,121.84","1,149.29","1,113.24","","1.52%"
"01-04-2005","1,123.64","1,150.47","1,159.91","1,111.59","","-2.32%"
"01-03-2005","1,150.36","1,174.67","1,196.81","1,138.94","","-2.24%"
"01-02-2005","1,176.70","1,142.23","1,183.36","1,141.14","","3.01%"
"01-01-2005","1,142.35","1,168.16","1,170.94","1,127.37","","-2.31%"
"01-12-2004","1,169.34","1,126.44","1,172.37","1,120.99","","3.73%"
"01-11-2004","1,127.34","1,075.13","1,138.98","1,073.01","","5.09%"
"01-10-2004","1,072.70","1,048.38","1,075.42","1,044.77","","2.37%"
"01-09-2004","1,047.86","1,031.21","1,059.25","1,030.87","","1.77%"
"01-08-2004","1,029.63","1,028.00","1,032.95","992.22","","0.26%"
