"Date","Price","Open","High","Low","Vol.","Change %"
"01-10-2022","1,846.86","1,687.28","1,854.57","1,641.94","","10.94%"
"01-09-2022","1,664.72","1,826.75","1,906.09","1,650.71","","-9.73%"
"01-08-2022","1,844.12","1,870.49","2,030.05","1,843.08","","-2.18%"
"01-07-2022","1,885.23","1,705.07","1,888.22","1,681.58","","10.38%"
"01-06-2022","1,707.99","1,871.46","1,919.73","1,641.47","","-8.37%"
"01-05-2022","1,864.04","1,863.66","1,952.75","1,701.15","","0.00%"
"01-04-2022","1,864.10","2,071.22","2,103.36","1,860.58","","-9.95%"
"01-03-2022","2,070.13","2,047.24","2,138.45","1,932.71","","1.08%"
"01-02-2022","2,048.09","2,028.78","2,105.21","1,894.45","","0.97%"
"01-01-2022","2,028.45","2,246.71","2,288.30","1,901.36","","-9.66%"
"01-12-2021","2,245.31","2,203.12","2,276.75","2,107.68","","2.11%"
"01-11-2021","2,198.91","2,298.08","2,458.85","2,175.68","","-4.28%"
"01-10-2021","2,297.19","2,205.91","2,321.47","2,188.69","","4.21%"
"01-09-2021","2,204.37","2,274.21","2,309.97","2,155.34","","-3.05%"
"01-08-2021","2,273.77","2,228.03","2,286.36","2,122.24","","2.13%"
"01-07-2021","2,226.25","2,312.57","2,332.95","2,107.07","","-3.65%"
"01-06-2021","2,310.55","2,270.38","2,350.70","2,229.58","","1.83%"
"01-05-2021","2,268.97","2,268.62","2,288.57","2,132.25","","0.11%"
"01-04-2021","2,266.45","2,225.29","2,322.91","2,171.68","","2.07%"
"01-03-2021","2,220.52","2,203.03","2,360.17","2,085.12","","0.88%"
"01-02-2021","2,201.05","2,075.01","2,318.09","2,075.01","","6.14%"
"01-01-2021","2,073.64","1,975.78","2,194.86","1,927.15","","5.00%"
"01-12-2020","1,974.86","1,822.92","2,026.24","1,817.02","","8.52%"
"01-11-2020","1,819.82","1,540.86","1,862.17","1,540.86","","18.29%"
"01-10-2020","1,538.48","1,508.60","1,652.05","1,498.11","","2.04%"
